id;X1;X2;X3;Y
1;-993.02;-442.84;19.22;5177.85
2;-270.86;-576.87;-907.99;-1017.81
3;-365.73;-644.34;958.48;5240.21
4;-589.02;144.81;-763.22;350.22
5;667.71;492.3;254.4;-2812.63
6;555.85;743.56;895.79;-509.71
7;-120.64;-714.69;642.32;3153.87
8;172.9;-332.44;-149.46;-1005.77
9;-824.71;23.65;961.33;6889.06
10;58.52;-772.39;841.35;2957.48
11;-128.61;53.01;262.85;1384.35
12;387.98;-460.92;817.8;1051.54
13;130.37;-468.91;539.71;1433.61
14;-33.85;-745.09;-320.29;-201.57
15;-167.04;-488.53;-992.64;-1848.62
16;-867.97;-459.14;250.59;5306.89
17;170.22;547.45;-663.71;-3307.44
18;-209.67;-616.05;203.56;2145.44
19;889.18;-453.57;-299.99;-4792.81
20;47.05;-129.69;462.12;1311.56
21;650.12;364.82;-134.24;-3819.28
22;198.2;384.5;315.96;-288.2
23;-859.91;-842.7;913.71;7629.3
24;240.72;435.76;-38.74;-1626.38
25;855.89;-501.48;102.77;-3352.64
26;-714.71;-330.55;653.13;5708.14
27;-626.98;-627.64;961.47;6484.78
28;-423.53;663.28;626.65;3409.57
29;546.66;-654.89;-916.9;-4889.64
30;574.01;827.42;-921.2;-6263.42
31;-134.38;-491.37;450.19;2442.5
32;-885.44;-54.08;406.52;5534.5
33;-264.17;-176.12;-593.22;-413.06
34;740.58;-106.27;401.13;-2212.08
35;-227.88;-14.97;78.88;1349.69
36;-871.7;267.61;72.14;4172.97
37;629.98;569.3;-761.3;-5824.55
38;-167.87;-65.44;895.33;3619.37
39;-988.92;-232.13;306.05;5867.41
40;91.31;-598.68;594.34;1895.36
41;390.97;-154.81;-851.89;-4358.87
42;191.69;-787.66;824.08;2281.27
43;466.92;269.79;437.2;-1104.2
44;-914.04;825.95;-295.52;2777.39
45;735.33;454.25;837.07;-1309.5
46;365.53;933.78;-840.46;-5106.88
47;-898.21;-635.39;427.58;6141.62
48;-611.99;194.77;-758.89;431.28
49;221.6;245.05;252.56;-479.68
50;115.58;558.79;638.07;954.26
51;326.43;-808.86;638.11;1081.83
52;677.44;-393.21;656.57;-885.73
53;-862.16;-687.81;682.18;6797.23
54;507.22;285.18;-398.78;-3884.22
55;103.72;-71.49;436.11;912.14
56;74.14;27.71;-643.99;-2355.64
57;11.5;-168.3;-527.66;-1535.69
58;701.85;706.05;-132.08;-4343.27
59;-465.73;-998.25;144.51;3504.98
60;-492.18;786.27;273.03;2546.49
61;-960.9;-491.74;963.6;7974.2
62;-101.74;-886.12;404.76;2473.51
63;368.11;602.56;532.34;-614.9
64;-92.84;-590.1;456.46;2344.44
65;-851.64;-90.92;959.42;7106.17
66;-692.54;-348.76;-857.85;962.08
67;-708.3;166.21;351.82;4336.57
68;365.67;-903.49;536.12;657.85
69;243.14;-717.64;-874.93;-3256.47
70;415.47;-907.96;555.76;484.15
71;-605.67;-612.28;250.64;4180.42
72;-733.24;-356.73;-527.04;2182.1
73;-720.43;247.65;-312.11;2281.27
74;881.41;467;-135.14;-5011.74
75;-170.1;-462.63;-790.64;-1232.67
76;425.62;597;-496.15;-4054.18
77;518.79;-58.59;-657.09;-4449.48
78;-17.5;-714.26;191.09;1270.07
79;431.2;206.85;24.74;-2150.94
80;-421.36;508.18;736.77;3866.42
81;-260.08;791.29;-471.94;-862.66
82;268.45;604.52;-562.62;-3512.64
83;-470.33;975.86;-744.65;-850.54
84;943.12;714.16;-260.03;-5897.21
85;-111.32;-556.81;12.85;1038.1
86;-756.28;212.84;266.23;4263.64
87;421.84;87.32;-667.69;-4140.84
88;921.54;29.71;646.25;-2433.93
89;-329.17;824.45;502.11;2440.09
90;-946.5;-24.45;-812.54;2046.92
91;-160.47;-907.77;-512.7;-54
92;588.22;-875.46;614.88;-186.64
93;-288.47;-546.55;-213.58;1179.6
94;-115.22;-194.2;41.83;845.52
95;942.71;23.4;156.36;-4039.75
96;-468.61;-389.35;985.89;5605.43
97;551.25;-395.97;872.18;384.95
98;456.89;-373.52;249.97;-1098.98
99;-677.89;-590.72;146.09;4184.71
100;-297.21;-738.61;-953.16;-896.91
