id;X1;X2;X3;Y
1;-575.59;-134.1;-125.47;-2523.93
2;900.67;-184.83;636.03;3226.48
3;-528.91;-807.67;-986.24;-4026.52
4;-977.34;-827.12;-447.89;-5639.7
5;-988.82;-408.34;-292.38;-4742.36
6;298.82;577.91;848.65;2617.88
7;-439.46;-85.91;121.32;-1832.25
8;-367.81;411.2;359.69;-424.59
9;-743.38;-536.97;-720.13;-4194.13
10;958.75;274.62;680.29;4448.31
11;-736.52;516.26;760.15;-1502.76
12;692.3;-167.13;966.39;2555.27
13;-593.78;-262.74;872.87;-2601.22
14;-44.88;69.65;-584.11;-178
15;470.1;-284.82;708.76;1381.89
16;919.26;-666.46;-225.71;2029.09
17;202.66;-430.33;547.6;1.31
18;-357.29;-804.08;-340.54;-3186.31
19;-62.85;-824.43;-170.95;-2056.93
20;-678.38;833.63;-354.68;-899.18
21;-198.07;-273.72;-674.27;-1527.35
22;104.2;-967.46;432.58;-1561.89
23;558.61;-611.05;201.2;881.95
24;-799.53;-340.41;-870.72;-4026.78
25;-114.88;-643.2;-836.63;-2047.06
26;719.58;-501.72;-946.55;1423.49
27;932.86;43.17;703.2;3857.88
28;482.41;416.3;549.3;2893.55
29;840.96;169.32;-700.8;3398.33
30;-419.85;-956.06;227;-3599.68
31;594.23;-708.9;702.11;943.83
32;-685.76;678.09;917.41;-918.34
33;-994.24;-377.66;196.13;-4564.87
34;858.19;259.13;-744.54;3644.48
35;-8.25;-842.93;812.7;-1622.1
36;638.83;-590.04;-441.47;1061.11
37;342.6;-261.14;769.82;960.08
38;-424.52;-27.64;15.25;-1678.6
39;598.54;-644.96;901.08;1151.78
40;-357.58;-700.41;-237.04;-2937.14
41;48.25;622.54;637.32;1697.26
42;378.99;-618.95;791.72;337.26
43;-963.68;109.89;-500.99;-3588.39
44;-473.03;-974.75;-942.85;-4158.75
45;824.45;-794.84;-274.71;1377.22
46;491.1;356.26;661.06;2827.7
47;463.33;-458.8;174.72;837.21
48;124.73;-889.38;656.72;-1254.37
49;548.04;316.28;-411.32;2669.54
50;-480.96;-273.84;125.67;-2394.89
51;-401.66;-380.52;-502.77;-2490.2
52;-437.91;-885.18;-298.73;-3658.48
53;-868.1;133.48;584.86;-2878.59
54;321.32;-49.86;-604.91;962.11
55;892.68;-197.05;691.18;3183.02
56;-76.48;-743.3;646.97;-1713.8
57;63.89;469.75;160.08;1300.51
58;-762.83;610.03;362.83;-1508.31
59;185.35;-4.84;396.55;809.11
60;77.17;477.44;371.1;1425.03
61;-756.91;921.7;301.73;-833.66
62;-342.5;233.47;-930.65;-1058.92
63;-280.03;189.22;-275.23;-737.69
64;596.63;-526;-777.48;946.11
65;488.86;-577.39;-678.07;450.09
66;-513.19;357.87;-308.87;-1277.45
67;-747.22;-646.83;677.53;-4067.45
68;64.17;-375.33;420.02;-445.31
69;-508.11;-371.3;-618.28;-2910.6
70;241.91;961.98;-484.5;2866.72
71;-661.77;781.66;803.71;-634.62
72;55.51;533.1;-449.95;1240.31
73;936.09;416.51;-371.79;4382.64
74;90.91;-926.49;781.7;-1430.01
75;156.65;-500.35;-338.27;-564.29
76;-529.92;-891.24;-726.44;-4139.77
77;-223.61;-384.07;556.86;-1529.56
78;471.64;463.66;579.98;2961.94
79;-811.19;915.28;686.56;-952.59
80;663.34;-0.81;312.4;2626.11
81;-657.6;605.34;497.86;-1079.94
82;-688.34;758;691.35;-817.55
83;-609.68;-599.07;456.55;-3497.84
84;-304.59;-618.4;-290.74;-2573.09
85;-220.39;748.56;-641.99;594.05
86;719.6;828.46;608.63;4703.12
87;644.7;977.5;-519.72;4431.68
88;107.9;32.5;164.23;529.55
89;-859.94;-132.42;-778.4;-3786.37
90;-523.2;99.93;-563.13;-1938.72
91;-938.02;-177.53;-920.43;-4221.67
92;-594.06;799.27;-272.06;-629.83
93;605.71;155.27;316.15;2741.4
94;393.13;-664.46;-628.11;-90.47
95;733.69;-134.53;-853.77;2292.44
96;230.32;472.41;358.23;1996.7
97;537.19;-320.33;161.34;1414.61
98;-291.49;890.94;552.44;950.16
99;734.54;708.56;368.96;4438.17
100;-388.71;246.47;476.61;-828.2
